Threat,Feature,Classification,Reason
Data_Exfiltration,Fwd PSH Flags,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd PSH Flags,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Fwd URG Flags,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd URG Flags,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Fwd Header Length,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd Header Length,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Fwd Packets/s,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd Packets/s,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Min Packet Length,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Max Packet Length,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Packet Length Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Packet Length Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Packet Length Variance,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,FIN Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,SYN Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,RST Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,PSH Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,ACK Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,URG Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,CWE Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,ECE Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Down/Up Ratio,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Average Packet Size,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Avg Fwd Segment Size,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Avg Bwd Segment Size,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Fwd Header Length.1,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Avg Bytes/Bulk,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Avg Packets/Bulk,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Avg Bulk Rate,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd Avg Bytes/Bulk,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd Avg Packets/Bulk,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd Avg Bulk Rate,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Subflow Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Subflow Fwd Bytes,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Subflow Bwd Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Subflow Bwd Bytes,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Init_Win_bytes_forward,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Init_Win_bytes_backward,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,act_data_pkt_fwd,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,min_seg_size_forward,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Active Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Active Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Active Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Active Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Idle Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Idle Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Idle Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Idle Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
